Name,Country,Date,Rate,Certificate,Pred_Certificate,Genre,Nudity,Violence,Profanity,Alcohol,Frightening,Summarized_Text
in a lonely place,United States,1950,8.0,Not Rated,PG,"Drama, Film-Noir, Mystery",None,Mild,None,Mild,Mild,"He sends her home with cab money and is abruptly woken up at 500 the next morning by a police officer the girl was found murdered, and Dix was the last person to see her alive. Given his violent past and what appears to be apathy towards her death, he is the most logical suspect until his beautiful neighbor Laurel Gray Gloria Grahame gives him an alibi though the audience is never quite sure if she is telling the truth or lies because of her attraction to Dix. There is an undeniable connection between Laurel and Dix, and despite her guarded demeanor and his deep internal demons, the two fall madly in love and for a while they enjoy the happiest time of their lives. Meanwhile, the murder investigation continues and Dix is still the most likely suspect. Sensing this, he is so frightened hell lose Laurel, he clings ever more tightly to her, which appears controlling and frightens her. After that incident, Laurel begins to truly doubt Dixs innocence. Dix senses this and from the strain of the accusation, the novel and his fears of losing Laurel, his violence has started up again. Though she loves Dix, Laurel fears for her life and plans to leave him. When Dix finds out, he flies into a rage and nearly strangles the woman he loves the only thing that stops him is a ringing telephone which confirms his innocence. However, he walks away anything but a free man, having lost forever the one person who he truly loved, who truly loved him, and couldve made him happy enough to help him deal with his violent nature."
the thing from another world,United States,1951,7.1,Not Rated,PG,"Horror, Sci-Fi",None,Mild,None,Mild,Mild,"Scotty is frustrated that someone in Washington has leaked the story, and although he is the only reporter at the base, no one can hear his version. Distracted by the novel he is reading, Barnes doesnt notice movement behind him before it is too late. Through a broken window they can hear a battle going on between the camp dogs and the creature. The men race to the aid of the dogs, but the creature escapes. They discover the arm is made of chitin and laced with barbs and they suspect this makes the creature amazingly strong. After the soldiers leave, Carrington points out to his colleagues that a number of the most temperaturesensitive plants have died, probably from exposure to cold air. He explains that two scientists have been attacked and killed in the greenhouse. The alien is intelligent and he believes it intends to reproduce. A message from Fogerty interrupts the exchange, he has instructed all efforts must be made to keep the alien alive. Frantic preparations ensue as the men build barricades to force the creature to approach from a specific direction."
high noon,United States,1952,8.0,PG,PG,"Drama, Thriller, Western",None,Mild,None,Mild,Mild,"The three outlaws ride through town and settle in outside the train depot to await the noon arrival of gang leader Frank Miller. Kane and Amy are quickly hustled out of town in hopes of avoiding bloodshed. He advises Kane to do the same. Determined not to be a widow, Amy Fowler also buys a ticket on the departing noon train. Amy looks away, but Helen doesnt. Kane catches a break when foolish Ben Miller smashes a shop window to steal a hat. Amy hears the gunshot as the train pulls out and jumps off. Kane is soon caught in a crossfire and takes refuge in the hayloft of the livery stable. Kane lowers his gun and steps out. As the townspeople flood into the street, Kanes wagon is driven up so the couple can resume their wedding journey."
singin in the rain,United States,1952,8.3,G,G,"Comedy, Musical, Romance",None,None,None,None,None,"Later, at a party, the head of Dons studio, R. F.  Simpson Millard Mitchell, shows a short demonstration of a talking picture, but his guests are unimpressed. Furious, she throws a pie at him, only to hit Lina right in the face. The production is beset with difficulties most, if not all, taken from real life, by far the worst being Linas comically grating voice. Dons best friend, Cosmo Brown Donald OConnor, comes up with the idea to overdub Linas voice with Kathys and they persuade R. F.  to turn The Dueling Cavalier into a musical called The Dancing Cavalier. Dan and Kathy start singing a love song."
gentlemen prefer blondes,United States,1953,7.2,Not Rated,PG,"Comedy, Musical, Romance",Mild,None,None,Mild,None,"Showgirls Lorelei Lee and Dorothy Shaw travel to Paris, pursued by a private detective hired by the suspicious father of Loreleis fianc, as well as a rich, enamored old man and many other doting admirers. , Lorelei and Dorothy are just Two Little Girls from Little Rock, lounge singers on a transatlantic cruise, working their way to Paris, and enjoying the company of any eligible men they might meet along the way, even though Diamonds are a Girls Best Friend. Based on the Broadway musical based on the novel.  For Lorelei, the trip will provide a necessary break from her fianc Gus Edmond Jr.  whose very rich father disapproves of their relationship. In fact, Gus father convinced that Lorelei is just after a rich husband and sends a private detective on the trip to keep an eye on her. As for Dorothy she attracts many beaus, including the US Olympic team! All of this and several song and dance numbers along the way. "
the glass wall,United States,1953,6.9,Not Rated,,"Drama, Film-Noir",No Rate,No Rate,No Rate,No Rate,No Rate,"Peter is a refugee who wants to make a better life for himself in America, but he doesnt have the proper papers. Desperate for entry, he jumps ship and flees to New York to search for a World War II veteran whom he helped during the war. , Peter, a WW II displaced person about to be deported, jumps ship in New York harbor in an effort to find an exG. I.  named Tom whom he helped during the war and can prove Peters right to legal entry in the United States. It is a race against time for if he cant find Tom within 24 hours and prove his case, he will be branded a fugitive and will be permanently disqualified for U. S.  citizenship. His quest leads him to befriending Maggie, a downonherluck factory worker whom he rejuvenates through his good faith, a visit to a jazz club where Shorty Rogers and his band and trombonist Jack Teagarden are playing, and an interlude with a goodhearted burlesque dancer, Tanya Zakoyla, takes him to her mothers home for food and rest.  "
creature from the black lagoon,United States,1954,7.0,G,PG,"Horror, Sci-Fi",None,Mild,None,Mild,Mild,"Reed immediately takes an interest and wants to go back up river to recover the rest of the fossil. The men successfully complete their mission not realizing they are being stalked by the creature. Reed opposes the course of action, but is over ruled. He is frightened by the light of a lantern. Reaching the boat it kills one of the crew then attempts to kidnap Kay. The creature breaks free and attacks Thompson. On the second attempt he manages to hit the creature, but loses him. Reed goes back into the water armed with the poison and begins work on the snag. Reed waits for the creature to get to very close range and fires twice, enveloping the creature in the paralyzing poison. Two of the crew coming from the beach entrance of the cave open fire hitting him multiple times."
la strada,Italy,1954,8.0,Not Rated,PG-13,Drama,None,Mild,Mild,Moderate,Mild,"A carefree girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way. , Sad story of a waif, Gelsomina, who is sold by her mother to Zampano for 10,000 lire and a few kilos of food. Zampano is a traveling showman who exhibits feats of strength by breaking a chain wrapped around his chest. They eventually join a small traveling circus where they meet a tightrope walker who convinces Gelsomina to question her choices. garykmcd, Gelsomina lives a quiet life with her mother and three sisters. However, this sheltered existence is shattered when a travelling showman, Zampano, pays her mother so that Gelsomina will travel with and work for him. grantss, Freespirited Gelsomina is sold to the surly traveling circus performer Zampan as his assistant. Traveling from town to town to perform, a strange bond develops between the two as Gelsomina learns her purpose in life and Zampan realizes too late his attachment to her. , Gelsomina is sold by her very poor mother to Zampan, an itinerant strongman. "
rear window,United States,1954,8.5,PG,PG,"Mystery, Thriller",Mild,Mild,None,Mild,Moderate,"Theres the girl who exercises in her underwear, the married couple who sleep on their small balcony to beat the heat, the struggling songwriter working at his piano and theres the salesman who lives across the courtyard from Jeffries, the one with the nagging bedridden wife. Jeffries pulls out his binoculars, and then a large telephoto lens to get a better look.  The police arrive and beat on Thorwalds door, saving Lisa just in time. Her back is to him, and he see her hands behind her back pointing to Mrs.  Thorwalds ring, which is now on her finger. Jeffries is left alone, and looking back over to Thorwalds apartment, he sees all the lights are off. He grabs a box of flashbulbs, and under his door he watches the hall lights go off. Thorwald stands in the dark looking at Jeffries. Fighting to stay alive, Jeffries cannot stop Thorwald, and is pushed out. Lisa reclines happily next to him, now wearing blue jeans and a simple blouse, and reading a camping book."
seven samurai,Japan,1954,8.6,Not Rated,PG-13,"Action, Adventure, Drama",Mild,Mild,Mild,Mild,Mild,"In turmoil, they go to the village elder, who declares that they should fight, by hiring samurai to help defend the village. Then the farmers ask Kambei to help defend their village to their great joy, he accepts. Although Kambei had initially decided that seven samurai would be necessary, he plans to leave for the village with only the four that he has chosen because time is running short. When the samurai arrive at the village, the villagers cower in their homes in fear, hoping to protect their daughters and themselves from these supposedly dangerous warriors. However, when the samurai discover that the villagers have murdered and robbed fleeing samurai in the past, they are shocked and angry, and Kyz, the most professional and calm of the samurai, even comments that he would like to kill everyone in the village. The always clownish Kikuchiyo passionately castigates the other samurai for ignoring the hardships that the farmers face in order to survive and make a living despite the intimidation and harassment from the warrior class, in the process revealing his origins to Kambei, who suddenly perceives that Kikuchiyo is himself a farmers son. Katsushir, the youngest samurai, begins a love affair with Shino, the daughter of one of the villagers. As the time for the raid approaches, two bandit scouts are killed, and one is captured and reveals the location of the bandit camp. This is repeated several times with success, although more than one bandit manages to enter the village several times. The three surviving samurai, Kambei, Katsushir, and Shichirji, are left to observe the villagers happily planting the next rice crop."
rebel without a cause,United States,1955,7.7,PG-13,PG-13,Drama,None,Moderate,None,Mild,Moderate,"His weakwilled father Jim Backus often tries to defend Jim, but Jims picky and domineering mother always wins the arguments for his father cannot find the courage to stand up to his wife. While Jim tries to deal with Buzz, he becomes friends with a shy 15yearold boy, John, who is nicknamed Plato Sal Mineo, who was also at the police station the night of the opening scene for shooting and killing puppies. After the show, he watches Buzz and his thugs slash a tire of his car for no reason, and then Buzz challenges him to a knife fight, while the gang taunts Jim as a chicken. Not to be outdone, Buzz and his thugs challenge Jim to a Chickie Run with Buzz and Jim racing stolen cars towards an abyss. Jim goes to the police to find the sergeant who took his statement the previous night to tell him about the accident involving Buzzs death, but learns that the police officer is not there.  Jim meets up with Judy and they go to an abandoned mansion to hide out. There they act out a fantasy family, with Jim as father, Judy as mother and Plato as child. When Plato steps out of the observatory, he becomes agitated again at the sight of the police and charges forward, brandishing his weapon. Plato was wearing Jims jacket at the time, and as a result, Jims parents brought to the scene by police think at first that Jim was shot."
forbidden planet,United States,1956,7.6,G,PG,"Action, Adventure, Sci-Fi",None,Mild,None,Mild,Mild,"The ship lands and security details deploy. Adams, Farman and Doc Ostrow Warren Stevens arrive at the residence and are greeted by Morbius. Robby refuses and goes into a mechanical mind lock, disabling him until the order is changed. Morbius is unavailable, so the two men settle in to wait. Morbius admits it is time for explanations. He leaves orders for the ship to be readied for liftoff. Adams demands an explanation of the monsters from the id. Adams explained that it was useless Robby knew it was Morbius himself. Adams, Altair and Morbius retreat to the Krell lab and seal themselves in by sealing a special indestructible door. The group watch as the creature begins the slow process of burning through the door."
tea and sympathy,United States,1956,7.3,Not Rated,,Drama,No Rate,No Rate,No Rate,No Rate,No Rate,"A new senior at a boys prep school, finds himself harassed by the machismo culture of his classmates and the unfeelingly behavior by his father, only being treated with decency by his roommate and with affection by the coachs wife. , Tom Lee is a sensitive boy of 17 whose lack of interest in the manly pursuits of sports, mountain climbing and girls labels him sisterboy at the college he is attending. Head master Bill Reynolds wife Laura sees Toms suffering at the hands of his school mates and her husband, and tries to help him find himself. com, At his ten year reunion, Tom Lee reminisces about his life at Chilton, a boys prep school. Tom knows that he embarrasses his alumnus father, Herb Lee, who is worried the Lee name will now be forever tainted at Chilton. At Chilton, Toms favorite times are spent with Laura Reynolds, the relatively recent bride of his dormitory house master, the overtly masculine Bill Reynolds who also attended Chilton as a student at the same time as Herb Lee. Seeing the torment he is facing from all sides, Laura wants to help Tom in any way she can. Huggo, The seventeen yearold Tom Robinson Lee lives in a boarding house owned by the headmaster and coach Bill Reynolds and his wife Laura Reynolds. Tom is a sensitive teenager that was raised by his maid since his mother left when he was 5 years old and his estranged father Herb Lee was absent. One day, a couple of the boys see Tom with Laura and two women sewing on a button on a shirt on the beach and call him sisterboy, turning his life upsidedown."
the opposite sex,United States,1956,6.1,Not Rated,,"Comedy, Musical, Romance",No Rate,No Rate,No Rate,No Rate,No Rate,"Former nightclub singer Kay Hilliard, married 10 years and mother of a young daughter, is informed that her husband Steven is having an affair with chorus girl Crystal Allen, so she goes to Reno for a divorce. , Shortly after their 10th wedding anniversary, New York City theater producer Steven Hilliard Leslie Nielsen and his wife, former popular radio singer Kay Ashley Hilliard June Allyson, are getting a Kayinitiated Reno divorce after Kay finds out about a marital indiscretion he had with Crystal Allen Dame Joan Collins, a golddigging chorus girl in one of his shows. News of the indiscretion made its way to Kay indirectly by her catty friend Sylvia Fowler Dolores Gray. In getting the divorce, Kays best friend, playwright Amanda Penrose Ann Sheridan, believes Kay is playing right into the wants of Crystal, whose main goal is not to be happily married to Steven, but to get what such a marriage can bring her in material wealth and comfort. Amanda does not believe Steven loves Crystal and that he still really loves Kay. Kay proceeds with the divorce despite believing theyd had a happy, loving marriage before she learned of the indiscretion, and despite having adolescent daughter Debbie Sandy Descher to consider. But when Kay learns information of the goingson within her social circle, she decides to take back control of her married status while exacting some revenge. Huggo, Former nightclub singer Kay Hilliard June Allyson, married 10 years and mother of a young daughter, is informed that her husband Steven Leslie Nielsen is having an affair with chorus girl Crystal Allen Dame Joan Collins, so she goes to Reno for a divorce. After that, Steven marries Crystal, but Crystal isnt true. When Kay hears about this, she starts fighting to win her exhusband back."
the ten commandments,United States,1956,7.9,G,PG,"Adventure, Drama",Mild,Mild,None,Mild,Mild,"In between, the film depicts the early adulthood of Moses as a beloved foster son of Pharaoh Seti I brother of Bithiah and general of his armies, his romance with Throne Princess Nefertari or Nefretiri, as she is called in the film and rivalry with the Pharaohs own son, Prince Rameses II. Meanwhile, Moses and Nefretiri are deeply in love she is the throne princess, who must marry the next Pharaoh. Moses questions Joshua about his God, and Joshua declares his strong faith but says that Gods name is unknown. As Nefretiri is joyously preparing for marriage, Memnet informs her that Prince Moses is not a prince at all, but the son of Hebrew slaves. Moses confesses to Joshua that he himself is Hebrew Joshua excitedly proclaims Moses the Deliverer, and although Moses denies it, Dathan has all the proof he needs. Bithiah confesses to her brother Seti that she took Moses from the Nile knowing by the design on his blankets that he was Hebrew. Back in Egypt, Seti dies heartbroken, with Moses name on his lips, and Rameses succeeds him as Pharaoh becoming Rameses II, taking Nefretiri as his Queen. At Pharaohs court, Moses comes before Rameses to win the slaves freedom, turning his staff into a snake to show Rameses the power of God. Rameses orders all firstborn Hebrews to die, but just as Moses had foretold, this intention backfires. Sephora, now reunited with Moses, tells the people that he has gone to receive Gods Law, and Bithiah asks, Would the God whos shown you such wonders let Moses die before his work his done?"
12 angry men,United States,1957,9.0,Not Rated,PG,"Crime, Drama",None,None,None,Mild,Mild,"It is immediately apparent that the jurors have already decided that the boy is guilty, and that they plan to return their verdict without taking time for discussion with the sole exception of Juror 8 Henry Fonda, who is the only not guilty vote in a preliminary tally. Juror 11 then changes his vote. Jurors 5, 6 and 8 question whether this is true, as the witness in question had had a stroke, limiting his ability to walk. Juror 2 calls into question the prosecutions claim that the accused, who was 57 tall, was able to inflict the downward stab wound found on his father, who was 62. Confused and disturbed by this reaction to his diatribe, Juror 10 continues in a steadily fading voice and manner, slowing to a stop with Listen to me.  Juror 8 explains that there was thus no logical reason to expect that the witness happened to be wearing her glasses while trying to sleep, and he points out that on her own evidence the attack happened so swiftly that she would not have had time to put them on. This builds on a more emotionally ambivalent earlier revelation that his relationship with his own son is deeply strained, and his anger over this fact is the main reason that he wants the defendant to be guilty. Juror 3 finally loses his temper and tears up a photo of himself and his son, then suddenly breaks down crying and changes his vote to not guilty, making the vote unanimous. "
old yeller,United States,1957,7.3,G,PG,"Adventure, Drama, Family",None,Mild,None,None,Moderate,"Burn Sanderson, a rancher passing through from San Antonio, comes by the house and announces that he lost a big ol yellow dog recently. As Sanderson puts a rope around Yellers neck and begins to ride away, Arliss picks up some rocks and throws them at Sanderson. Sandersons horse is spooked and it bucks him off. While Travis and Yeller are recovering, Mr.  Searcy and Elizabeth come by. Elizabeth brings with her a small yellow puppy, one of Yellers pups, and offers it to Travis. Arliss is thrilled with the pup. Travis convinces his mother to let him put Yeller in a pen and observe him. The next day, Mr.  Coates returns home, bearing gifts of a new dress and shoes for his wife, an Indian headdress and hatchet for Arliss, and a new horse for Travis."
paths of glory,United States,1957,8.4,Not Rated,PG-13,"Drama, War",None,Moderate,Mild,Mild,Moderate," One officer asks what the weather is supposed to be like, to which the colonel replies Too good  meaning no rain or fog to provide cover for the troops advancing across nomans land. Outside in the hallway, Mireau confronts Dax and virtually orders him to step down as the defense attorney, but the colonel refuses. Dax sees his mens rights violated by the cynical military judges who are clearly acting under the orders of Mireau, sitting nearby. Broulard then gently accuses Dax of taking a narrow view of things, reminding him that the general staff is subjected to all sorts of unfair pressures from the press and politicians. A general launches an impossible attack and, on the same day, orders his artillery to fire on his own men.  Broulard becomes furious with Dax and shouts Colonel Dax, you shall apologize at once or I will have you placed under arrest!  In a calm tone, Broulard shakes his head and responds by saying Colonel Dax, you are a disappointment to me."
witness for the prosecution,United States,1957,8.4,Not Rated,PG,"Crime, Drama, Mystery",None,Mild,None,Mild,Mild,"Sir Wilfred Robarts Charles Laughton, a skilled lawyer who has Just be released from hospital, is asked to defend Vole. After his handpicked replacement barrister expresses doubt over Voles innocence, Sir Wilfred decides to handle the case himself, despite protests from his nurse Elsa Lanchester. In the courtroom, Christine Vole surprisingly appears as a Witness for the Prosecution. A parade of circumstantial evidence points to Vole being the likely murderer. Christines testimony does not provide an alibi for her husband. This evidence changes the jurys opinion and Leonard is acquitted. All is revealed in the last dramatic court scene, as Christine admits to deliberately sabotaging her own testimony with the letters, to get her guilty husband freed. But in the penultimate twist, Leonard shows his true stripes and reveals his intention to leave his wife for a younger woman. Miss Plimsoll cancels Sir Wilfreds planned trip to Bermuda and announces he will defend Christine Vole in her trial for murder."
vertigo,United States,1958,8.3,PG,PG,"Mystery, Romance, Thriller",Mild,Mild,None,Mild,Moderate,"Scottie follows Madeleine the next day to the Palace of the Legions, where she gazes at the portrait. Scottie reassures him that Madeleine is at his apartment. Gavin informs Scottie that Madeleine is twentysix  the same age at which Carlotta Valdes committed suicide. As Madeleine drives away from Scotties house, Midge arrives just in time to have a misunderstanding. She believes that Scottie and Madeleine are in a relationship. The next morning, Scottie trails Madeleine through the streets of San Francisco, only to find that Madeleine has been looking for Scotties house. Madeleine returns to Scotties house, where she tells him of an awful dream, with a tower, a bell, and a village. At the top, Gavin Elster was there, holding the body of the real Madeleine Elster, dressed in exactly the same outfit as Judy. Gavin had known about his vertigo, and knew that Scottie would never make it to the top of the bell tower. The room turns into the livery stable from the Mission, Scotties last kiss with Madeleine, and then back to the apartment."
